item_id,item_name,item_tier,item_base_rate,item_emoji,item_description,item_cost,item_image
i4g,Unrefined Dragon Jewel,4,40,<a:elootitem:1144477550379274322>,Refine for 40% chance to receive a tier 1-4 dragon jewel.,10000,
i4c,Unrefined Paragon Crest,4,40,<a:elootitem:1144477550379274322>,Refine for 40% chance to receive a base tier 2-4 paragon crest.,10000,
i5x,Unrefined Fabled Item,5,25,<a:elootitem:1144477550379274322>,Refine for 25% chance to receive a base tier 5 item.,250000,
i6g,Unrefined Dragon Heart Gem,6,25,<a:elootitem:1144477550379274322>,Refine for 25% chance to receive a tier 6 dragon heart gem.,100000,
I6x,Crystallized Wish,6,100,<a:elootitem:1144477550379274322>,Used to refine and upgrade a Key Weapon.,10000000,
i1y,Lesser Stamina Potion,1,100,<:estamina:1145534039684562994>,Consume to restore 500 stamina.,2500,
i2y,Standard Stamina Potion,2,100,<:estamina:1145534039684562994>,Consume to restore 1000 stamina,5000,
i3y,Greater Stamina Potion,3,100,<:estamina:1145534039684562994>,Consume to restore 2500 stamina,10000,
i4y,Ultimate Stamina Potion,4,100,<:estamina:1145534039684562994>,Consume to restore 5000 stamina,20000,
i4t,Summoning Token,4,100,<a:elootitem:1144477550379274322>,Perform a summoning ritual to summon a Tier 1-4 paragon solo boss.,10000,
i5t,Summoning Relic,5,100,<a:elootitem:1144477550379274322>,Perform a summoning ritual to summon a Tier 4-5 paragon solo boss.,25000,
i6t,Summoning Artifact,6,100,<a:elootitem:1144477550379274322>,Perform a summoning ritual to summon a Tier 6 paragon solo boss.,100000,
i1r,Mystery Crate,1,100,<a:elootitem:1144477550379274322>,An mysterious crate. What could be inside?,10000,
i1j,Lesser Golden Trove,1,100,<a:elootitem:1144477550379274322>,"Open to receive 1,000-10,000 lotus coins",0,
i2j,Standard Golden Trove,2,100,<a:elootitem:1144477550379274322>,"Open to receive 10,000-25,000 lotus coins",0,
i3j,Greater Golden Trove,3,100,<a:elootitem:1144477550379274322>,"Open to receive 25000-50,000 lotus coins",0,
i4j,Ultimate Golden Trove,4,100,<a:elootitem:1144477550379274322>,"Open to receive 50,000-250,000 lotus coins",0,
t0,Essence of The Reflection,1,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tI,Essence of The Magic,1,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tII,Essence of The Celestial,4,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tIII,Essence Of The Void,5,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tIV,Essence Of The Infinite,6,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tV,Essence of The Duality,3,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tVI,Essence of The Love,1,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tVII,Essence of The Dragon,4,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tVIII,Essence of The Behemoth,4,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tIX,Essence of The Memory,1,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tX,Essence of The Temporal,3,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXI,Essence of The Heavens,3,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXII,Essence of The Abyss,3,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXIII,Essence of The Death,3,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXIV,Essence of The Clarity,1,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXV,Essence of The Primordial,4,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXVI,Essence of The Fortress,4,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXVII,Essence of The Star,2,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXVIII,Essence of The Moon,2,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXIX,Essence of The Sun,2,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXX,Essence of The Requiem,2,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXXI,Essence of The Creation,2,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
tXXX,Essence of The Wish,6,1,<a:elootitem:1144477550379274322>,Perform a binding ritual to seal the essence into card form.,0,
STONE1,Fortress Stone,1,1,<a:elootitem:1144477550379274322>,Obtained from fortresses. It's a stone.,0,
STONE2,Dragon Stone,1,1,<a:elootitem:1144477550379274322>,Obtained from dragons. It's a stone.,0,
STONE3,Demon Stone,1,1,<a:elootitem:1144477550379274322>,Obtained from demons. It's a stone.,0,
STONE4,Paragon Stone,1,1,<a:elootitem:1144477550379274322>,Obtained from Paragons. It's a stone.,0,
